hotel	city	location	zone	star	mgrgroup	brand	openyear	roomquantity	ratingoverall	ratingroom	ratingatmosphere	ratingservice	ratingcostbenefit	fromrailway	fromairport	fromcitycenter	fromrailway2	fromairport2	fromcitycenter2	lat	lon	diy_breakfast	west_breakfast	chi_breakfast
63396	2	120	365	2	1	110	2008-08-01	106	4.2381	4.3469	4.2024	4.2738	4.1293	NULL	NULL	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
63676	2	120	986	2	3	44	2008-08-01	102	3.9706	3.9276	4.1995	3.9577	3.7978	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
64285	2	117	871	3	429	452	2008-08-01	55	4.3623	4.3835	4.4311	4.408	4.2265	NULL	NULL	NULL	NULL	NULL	NULL	31.412473678588867	121.48747253417969	NULL	NULL	10
65083	2	116	985	2	473	496	2008-04-01	166	3.9539	3.9035	4.3124	3.9264	3.6731	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
65461	2	128	872	3	0	0	2002-07-01	112	4.2152	4.2582	4.4304	4.2125	3.9597	NULL	NULL	NULL	NULL	NULL	NULL	31.113407135009766	121.02014923095703	NULL	NULL	NULL
66238	2	116	369	2	1	110	2009-05-01	120	4.0125	3.996	4.2537	4.0351	3.7652	NULL	NULL	NULL	NULL	NULL	NULL	31.26236343383789	121.5178451538086	NULL	NULL	NULL
66609	2	115	983	4	0	0	2009-06-01	192	4.199	4.2666	4.3505	4.1375	4.0415	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
66630	2	122	364	3	0	0	2005-11-01	154	3.9315	4.0155	4.0358	3.8737	3.801	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
66637	2	120	986	3	0	0	2006-01-01	155	4.0148	3.9841	4.2148	4.0068	3.8534	NULL	NULL	NULL	NULL	NULL	NULL	31.23922348022461	121.38370513916016	NULL	NULL	NULL
67155	2	121	368	2	0	0	2008-12-01	60	3.8326	3.731	4.2661	3.8041	3.5292	NULL	NULL	NULL	NULL	NULL	NULL	31.307769775390625	121.52259063720703	NULL	NULL	NULL
67939	2	123	4207	4	0	0	2009-04-01	166	4.4705	4.5338	4.4968	4.4202	4.431	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
70788	2	122	4	4	0	0	2009-01-01	157	4.0959	4.1291	4.1905	4.0935	3.9706	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
70830	2	125	841	4	0	0	2004-07-01	208	4.0209	4.0369	4.2912	3.9984	3.7572	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
70900	2	121	369	2	3	44	2009-04-01	211	4.1202	4.1738	4.1193	4.1914	3.9963	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
71103	2	121	369	4	7	138	2009-03-01	225	4.3401	4.4842	4.2507	4.3029	4.3224	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
71817	2	118	19	2	458	481	2008-04-01	70	3.5558	3.4935	3.8649	3.5532	3.3117	NULL	NULL	NULL	NULL	NULL	NULL	31.26155662536621	121.45823669433594	NULL	NULL	NULL
71845	2	119	361	3	0	0	2007-01-01	85	3.7447	3.7277	3.8957	3.817	3.5383	NULL	NULL	NULL	NULL	NULL	NULL	31.189786911010742	121.52448272705078	NULL	NULL	NULL
72013	2	126	991	3	0	0	2009-06-01	152	4.209	4.2232	4.4451	4.0897	4.0779	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72076	2	118	19	5	32	24	2009-09-01	533	4.7047	4.8045	4.5785	4.6698	4.7659	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72783	2	113	7	3	0	0	1994-03-01	75	4.063	4.0471	4.5319	3.9751	3.6981	NULL	NULL	NULL	NULL	NULL	NULL	31.205055236816406	121.44344329833984	NULL	NULL	NULL
72916	2	113	7	2	1	110	2009-11-01	80	4.4484	4.4826	4.5398	4.4691	4.3019	NULL	NULL	NULL	NULL	NULL	NULL	31.20220375061035	121.4520492553711	NULL	NULL	NULL
73707	2	115	118	2	0	0	2001-01-01	30	4.1769	4.0794	4.7061	4.0933	3.8287	NULL	NULL	NULL	NULL	NULL	NULL	31.24104881286621	121.49604797363281	NULL	NULL	NULL
74519	2	119	379	2	3	44	2010-01-01	75	4.0	3.9664	4.2778	3.9537	3.8021	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
74939	2	115	28	5	22	107	2003-10-01	237	4.6538	4.7179	4.8205	4.5513	4.5256	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
75058	2	119	359	2	0	0	2009-08-01	189	3.6728	3.8034	3.7019	3.6998	3.4863	NULL	NULL	NULL	NULL	NULL	NULL	31.24486541748047	121.67564392089844	NULL	NULL	NULL
